2026-06-26 00:58:59,229 | WARNING | aiogram.dispatcher | Sleep for 4.984747 seconds and try again... (tryings = 43, bot id = 8587251551)
2026-06-26 00:59:04,354 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:04,354 | WARNING | aiogram.dispatcher | Sleep for 5.079922 seconds and try again... (tryings = 48, bot id = 8587251551)
2026-06-26 00:59:05,140 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:05,140 | WARNING | aiogram.dispatcher | Sleep for 5.300481 seconds and try again... (tryings = 46, bot id = 8587251551)
2026-06-26 00:59:09,556 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:09,556 | WARNING | aiogram.dispatcher | Sleep for 4.894945 seconds and try again... (tryings = 44, bot id = 8587251551)
2026-06-26 00:59:13,591 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:13,591 | WARNING | aiogram.dispatcher | Sleep for 4.971281 seconds and try again... (tryings = 49, bot id = 8587251551)
2026-06-26 00:59:14,581 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:14,582 | WARNING | aiogram.dispatcher | Sleep for 5.007370 seconds and try again... (tryings = 47, bot id = 8587251551)
2026-06-26 00:59:18,680 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:18,681 | WARNING | aiogram.dispatcher | Sleep for 4.996526 seconds and try again... (tryings = 45, bot id = 8587251551)
2026-06-26 00:59:22,728 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:22,728 | WARNING | aiogram.dispatcher | Sleep for 4.872305 seconds and try again... (tryings = 50, bot id = 8587251551)
2026-06-26 00:59:23,798 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:23,798 | WARNING | aiogram.dispatcher | Sleep for 5.014507 seconds and try again... (tryings = 48, bot id = 8587251551)
2026-06-26 00:59:27,711 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:27,711 | WARNING | aiogram.dispatcher | Sleep for 5.039954 seconds and try again... (tryings = 46, bot id = 8587251551)
2026-06-26 00:59:31,953 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:31,953 | WARNING | aiogram.dispatcher | Sleep for 5.035083 seconds and try again... (tryings = 51, bot id = 8587251551)
2026-06-26 00:59:32,869 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-26 00:59:32,869 | WARNING | aiogram.dispatcher | Sleep for 5.038992 seconds and try again... (tryings = 49, bot id = 8587251551)
2026-06-26 00:59:37,113 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
